Weapon,pg2,pg3,pg4,pg5,pg6
AK-109,96.0,96.0,288.0,672.0,1344.0
AK5C,170.0,170.0,340.0,765.0,1530.0
AK-74,192.0,192.0,288.0,960.0,1728.0
AKM,96.0,96.0,288.0,672.0,1344.0
AKS74-U,192.0,192.0,288.0,960.0,1728.0
AS VAL,60.0,120.0,180.0,420.0,840.0
AUG A1,85.0,170.0,255.0,595.0,1190.0
SKS Auto,65.0,65.0,195.0,455.0,910.0
Famas-G2,122.0,122.0,183.0,549.0,1098.0
G36k,170.0,170.0,340.0,765.0,1530.0
G3A3,110.0,110.0,110.0,110.0,110.0
Galil,110.0,220.0,330.0,770.0,1540.0
L85A2,150.0,150.0,225.0,750.0,1350.0
M16A2,60.0,120.0,180.0,420.0,840.0
M4,126.0,126.0,189.0,567.0,1134.0
SCAR-L,202.0,202.0,404.0,909.0,1818.0
SG552,140.0,140.0,210.0,700.0,1260.0
Stoner 63,85.0,85.0,255.0,595.0,1190.0
VSS,60.0,120.0,180.0,420.0,840.0
Agram 2000,240.0,960.0,2960.0,9040.0,0.0
CX8 Storm,180.0,720.0,2220.0,6720.0,0.0
Vector 10mm,110.0,550.0,1650.0,5060.0,0.0
Vector 9mm,165.0,770.0,2420.0,7315.0,0.0
Luty,150.0,600.0,1850.0,5700.0,0.0
MAC-10,120.0,480.0,1480.0,4520.0,0.0
MAC-11,114.0,532.0,1672.0,5016.0,0.0
MAT-49,300.0,1200.0,3700.0,11100.0,0.0
MP40,230.0,1380.0,4255.0,12880.0,0.0
MP5,160.0,960.0,2960.0,9040.0,0.0
MP7,116.0,232.0,696.0,1740.0,5394.0
MP9,126.0,756.0,2331.0,7056.0,0.0
MPX JW,210.0,840.0,2590.0,7910.0,0.0
FNP90,108.0,216.0,648.0,1620.0,4968.0
PP-19 Bizon,267.0,1246.0,3916.0,11837.0,0.0
PPSH,114.0,228.0,741.0,1767.0,5301.0
Thompson 1928,160.0,560.0,1920.0,5840.0,0.0
UMP45,200.0,700.0,2300.0,7300.0,0.0
UMP45 Reaper,200.0,700.0,2400.0,7200.0,0.0
BAR,120.0,120.0,120.0,120.0,120.0
XM250,90.0,90.0,90.0,90.0,90.0
M1A SASS,1.0,1.0,1.0,1.0,1.0
SKS,1.0,1.0,3.0,7.0,14.0
AWM,0.0,0.0,0.0,0.0,0.0
Mosin,1.0,1.0,1.0,1.0,1.0
Springfield,1.0,1.0,1.0,1.0,3.0
Hunter,0.0,0.0,0.0,1.0,1.0
C1911,2.0,10.0,30.0,93.0,0.0
Deagle,0.0,1.0,4.0,10.0,33.0
5-7,2.0,4.0,15.0,37.0,113.0
Glock 17,3.0,12.0,37.0,113.0,0.0
Makarov,3.0,14.0,44.0,132.0,0.0
Ruger,8.0,27.0,84.0,252.0,0.0
Tokarev,2.0,4.0,15.0,37.0,112.0
USP,2.0,10.0,30.0,93.0,0.0
JW 2011,2.0,10.0,30.0,93.0,0.0
JW G34,3.0,12.0,37.0,113.0,0.0
SVD,1.0,1.0,1.0,1.0,1.0
Barrett,0.0,0.0,0.0,0.0,0.0
