Weapon,pg2,pg3,pg4,pg5,pg6
AK-109,192.0,288.0,960.0,3456.0,7008.0
AK5C,170.0,340.0,1020.0,3910.0,7820.0
AK-74,192.0,288.0,1248.0,4416.0,8928.0
AKM,192.0,288.0,1248.0,4416.0,8832.0
AKS74-U,192.0,384.0,1248.0,4416.0,8928.0
AS VAL,120.0,180.0,780.0,2760.0,5580.0
AUG A1,170.0,255.0,1020.0,3910.0,7820.0
SKS Auto,130.0,195.0,845.0,2990.0,5980.0
Famas-G2,122.0,244.0,793.0,2806.0,5612.0
G36k,170.0,340.0,1275.0,4760.0,9520.0
G3A3,110.0,110.0,110.0,660.0,1870.0
Galil,220.0,330.0,1430.0,4950.0,10230.0
L85A2,150.0,225.0,975.0,3450.0,6975.0
M16A2,120.0,180.0,780.0,2760.0,5520.0
M4,126.0,252.0,756.0,2898.0,5796.0
SCAR-L,202.0,404.0,1313.0,4646.0,9393.0
SG552,140.0,280.0,840.0,3220.0,6440.0
Stoner 63,170.0,255.0,1105.0,3910.0,7905.0
VSS,120.0,180.0,780.0,2760.0,5580.0
Agram 2000,2080.0,5280.0,0.0,0.0,0.0
CX8 Storm,1320.0,3360.0,0.0,0.0,0.0
Vector 10mm,990.0,2530.0,0.0,0.0,0.0
Vector 9mm,1430.0,3630.0,0.0,0.0,0.0
Luty,1100.0,2800.0,0.0,0.0,0.0
MAC-10,880.0,2240.0,0.0,0.0,0.0
MAC-11,1140.0,2888.0,0.0,0.0,0.0
MAT-49,2200.0,5600.0,0.0,0.0,0.0
MP40,2530.0,6440.0,0.0,0.0,0.0
MP5,1760.0,4480.0,0.0,0.0,0.0
MP7,232.0,1044.0,5336.0,0.0,0.0
MP9,1386.0,3528.0,0.0,0.0,0.0
MPX JW,1540.0,3920.0,0.0,0.0,0.0
FNP90,216.0,1188.0,5994.0,0.0,0.0
PP-19 Bizon,2314.0,5874.0,0.0,0.0,0.0
PPSH,228.0,1254.0,6384.0,0.0,0.0
Thompson 1928,1440.0,3680.0,0.0,0.0,0.0
UMP45,1800.0,4600.0,0.0,0.0,0.0
UMP45 Reaper,1800.0,4600.0,0.0,0.0,0.0
BAR,120.0,120.0,120.0,720.0,2040.0
XM250,90.0,90.0,90.0,450.0,900.0
M1A SASS,1.0,1.0,1.0,6.0,17.0
SKS,2.0,3.0,12.0,46.0,93.0
AWM,0.0,0.0,0.0,0.0,2.0
Mosin,1.0,1.0,1.0,6.0,17.0
Springfield,1.0,1.0,3.0,8.0,23.0
Hunter,1.0,1.0,1.0,6.0,17.0
C1911,18.0,46.0,0.0,0.0,0.0
Deagle,1.0,10.0,52.0,0.0,0.0
5-7,4.0,22.0,113.0,0.0,0.0
Glock 17,22.0,56.0,0.0,0.0,0.0
Makarov,26.0,66.0,0.0,0.0,0.0
Ruger,54.0,136.0,0.0,0.0,0.0
Tokarev,4.0,22.0,112.0,0.0,0.0
USP,18.0,46.0,0.0,0.0,0.0
JW 2011,18.0,46.0,0.0,0.0,0.0
JW G34,22.0,56.0,0.0,0.0,0.0
SVD,1.0,1.0,1.0,6.0,17.0
Barrett,0.0,0.0,0.0,0.0,0.0
