AK-109_bins,AK-109,AK5C_bins,AK5C,AK-74_bins,AK-74,AKM_bins,AKM,AKS74-U_bins,AKS74-U,AS VAL_bins,AS VAL,AUG A1_bins,AUG A1,SKS Auto_bins,SKS Auto,Famas-G2_bins,Famas-G2,G36k_bins,G36k,G3A3_bins,G3A3,Galil_bins,Galil,L85A2_bins,L85A2,M16A2_bins,M16A2,M4_bins,M4,SCAR-L_bins,SCAR-L,SG552_bins,SG552,Stoner 63_bins,Stoner 63,VSS_bins,VSS,Agram 2000_bins,Agram 2000,CX8 Storm_bins,CX8 Storm,Vector 10mm_bins,Vector 10mm,Vector 9mm_bins,Vector 9mm,Luty_bins,Luty,MAC-10_bins,MAC-10,MAC-11_bins,MAC-11,MAT-49_bins,MAT-49,MP40_bins,MP40,MP5_bins,MP5,MP7_bins,MP7,MP9_bins,MP9,MPX JW_bins,MPX JW,FNP90_bins,FNP90,PP-19 Bizon_bins,PP-19 Bizon,PPSH_bins,PPSH,Thompson 1928_bins,Thompson 1928,UMP45_bins,UMP45,UMP45 Reaper_bins,UMP45 Reaper,BAR_bins,BAR,XM250_bins,XM250,M1A SASS_bins,M1A SASS,SKS_bins,SKS,AWM_bins,AWM,Mosin_bins,Mosin,Springfield_bins,Springfield,Hunter_bins,Hunter,C1911_bins,C1911,Deagle_bins,Deagle,5-7_bins,5-7,Glock 17_bins,Glock 17,Makarov_bins,Makarov,Ruger_bins,Ruger,Tokarev_bins,Tokarev,USP_bins,USP,JW 2011_bins,JW 2011,JW G34_bins,JW G34,SVD_bins,SVD,Barrett_bins,Barrett
96,9048,170,8566,192,8589,96,9063,192,8521,120,8586,170,8581,65,9054,122,8550,170,8575,110,10000,220,8573,150,8572,120,8539,126,8595,202,8567,140,8562,85,8914,120,8629,400,106,300,83,220,179,330,34,250,73,200,74,228,27,500,79,575,68,400,115,174,3222,315,78,350,81,162,3096,534,37,171,3151,240,430,300,385,300,377,120,10000,90,10000,1,10000,1,9022,0,10000,1,10000,1,10000,0,10000,4,192,1,5673,3,3247,5,92,6,40,12,1,3,3272,4,199,4,191,5,84,1,10000,0,10000
192,879,255,1295,288,1260,192,863,288,1368,180,1282,255,1268,130,881,183,1308,255,1294,,,330,1301,225,1274,180,1330,189,1252,303,1284,210,1281,170,1002,180,1225,480,266,360,288,275,496,385,146,300,264,240,312,266,173,600,287,690,261,480,292,232,3199,378,308,420,276,216,3136,623,148,228,3118,320,942,400,902,400,889,,,,,,,2,898,,,,,,,,,5,475,2,2779,4,3135,6,271,7,146,14,7,4,3101,5,476,5,559,6,254,,,,
288,70,340,129,384,138,288,73,384,102,240,126,340,140,195,62,244,124,340,121,,,440,113,300,144,240,121,252,142,404,137,280,139,255,77,240,127,560,545,420,480,330,849,440,336,350,579,280,523,304,330,700,562,805,509,560,487,290,1936,441,520,490,503,270,2019,712,314,285,2015,400,1258,500,1230,500,1259,,,,,,,3,74,,,,,,,,,6,831,3,1014,5,1927,7,545,8,330,15,26,5,1986,6,798,6,814,7,520,,,,
384,3,425,10,480,11,384,1,480,9,300,6,425,10,260,3,305,17,425,7,,,550,12,375,10,300,8,315,11,505,12,350,15,340,6,300,17,640,785,480,777,385,1073,495,533,400,741,320,795,342,543,800,788,920,774,640,774,348,959,504,753,560,783,324,1003,801,550,342,992,480,1373,600,1431,600,1402,,,,,,,4,5,,,,,,,,,7,1114,4,358,6,964,8,782,9,531,16,48,6,946,7,1117,7,1058,8,805,,,,
,,,,576,2,,,,,,,510,1,,,366,1,510,3,,,660,1,,,360,2,,,,,420,2,425,1,360,2,720,958,540,945,440,1193,550,711,450,966,360,903,380,732,900,963,1035,938,720,965,406,412,567,957,630,944,378,454,890,735,399,442,560,1254,700,1356,700,1243,,,,,,,5,1,,,,,,,,,8,1191,5,128,7,433,9,948,10,719,17,74,7,416,8,1196,8,1177,9,963,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,1,,,,,800,1088,600,1084,495,1158,605,871,500,1070,400,1055,418,864,1000,1053,1150,978,800,1051,464,166,630,1082,700,1004,432,201,979,836,456,167,640,1117,800,1130,800,1173,,,,,,,,,,,,,,,,,9,1173,6,35,8,180,10,1052,11,916,18,158,8,181,9,1173,9,1155,10,1061,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,1010,660,1095,550,1064,660,957,550,1058,440,1087,456,964,1100,997,1265,1079,880,994,522,72,693,1094,770,1060,486,65,1068,883,513,74,720,912,900,935,900,964,,,,,,,,,,,,,,,,,10,1094,7,6,9,77,11,1012,12,966,19,240,9,60,10,1050,10,1086,11,1053,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,971,720,1045,605,920,715,1041,600,993,480,957,494,1010,1200,992,1380,1031,960,1064,580,23,756,1010,840,998,540,20,1157,979,570,27,800,739,1000,720,1000,817,,,,,,,,,,,,,,,,,11,912,8,6,10,24,12,957,13,931,20,339,10,23,11,899,11,938,12,964,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,901,780,927,660,771,770,949,650,859,520,909,532,968,1300,872,1495,912,1040,911,638,9,819,936,910,898,594,3,1246,980,627,12,880,620,1100,542,1100,558,,,,,,,,,,,,,,,,,12,773,9,1,11,5,13,914,14,997,21,444,11,9,12,780,12,745,13,908,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,811,840,713,715,623,825,836,700,780,560,752,570,808,1400,770,1610,811,1120,781,696,1,882,765,980,781,648,2,1335,822,684,2,960,379,1200,434,1200,396,,,,,,,,,,,,,,,,,13,621,,,12,5,14,798,15,825,22,487,12,6,13,604,13,611,14,752,,,,
