Weapon,Minimum,Q1,Q3,Maximum,Median,IQR
AK-109,96,96.0,96.0,96,96.0,0.0,AK-109,96,96.0,96.0,384,96.0,0.0,AK-109,192,192.0,384.0,1056,288.0,192.0,AK-109,288,480.0,960.0,2784,672.0,480.0,AK-109,288,960.0,1824.0,5376,1344.0,864.0
AK5C,170,170.0,170.0,170,170.0,0.0,AK5C,170,170.0,170.0,425,170.0,0.0,AK5C,255,255.0,425.0,1105,340.0,170.0,AK5C,340,595.0,1020.0,2635,765.0,425.0,AK5C,340,1105.0,1955.0,5185,1530.0,850.0
AK-74,192,192.0,192.0,192,192.0,0.0,AK-74,192,192.0,192.0,576,192.0,0.0,AK-74,192,192.0,384.0,1056,288.0,192.0,AK-74,384,672.0,1152.0,2976,960.0,480.0,AK-74,384,1248.0,2208.0,6144,1728.0,960.0
AKM,96,96.0,96.0,96,96.0,0.0,AKM,96,96.0,96.0,384,96.0,0.0,AKM,192,192.0,384.0,960,288.0,192.0,AKM,288,480.0,960.0,2976,672.0,480.0,AKM,288,960.0,1824.0,5472,1344.0,864.0
AKS74-U,192,192.0,192.0,192,192.0,0.0,AKS74-U,192,192.0,192.0,480,192.0,0.0,AKS74-U,192,192.0,384.0,960,288.0,192.0,AKS74-U,384,672.0,1152.0,2880,960.0,480.0,AKS74-U,384,1248.0,2208.0,6528,1728.0,960.0
AS VAL,60,60.0,60.0,60,60.0,0.0,AS VAL,120,120.0,120.0,300,120.0,0.0,AS VAL,120,120.0,240.0,840,180.0,120.0,AS VAL,180,300.0,600.0,1680,420.0,300.0,AS VAL,180,600.0,1140.0,3660,840.0,540.0
AUG A1,85,85.0,85.0,85,85.0,0.0,AUG A1,170,170.0,170.0,510,170.0,0.0,AUG A1,170,170.0,340.0,1020,255.0,170.0,AUG A1,255,510.0,850.0,2295,595.0,340.0,AUG A1,255,850.0,1615.0,4165,1190.0,765.0
SKS Auto,65,65.0,65.0,65,65.0,0.0,SKS Auto,65,65.0,65.0,260,65.0,0.0,SKS Auto,130,130.0,260.0,715,195.0,130.0,SKS Auto,195,325.0,650.0,2080,455.0,325.0,SKS Auto,195,650.0,1235.0,3380,910.0,585.0
Famas-G2,122,122.0,122.0,122,122.0,0.0,Famas-G2,122,122.0,122.0,366,122.0,0.0,Famas-G2,122,122.0,244.0,610,183.0,122.0,Famas-G2,244,427.0,732.0,2135,549.0,305.0,Famas-G2,244,793.0,1464.0,4636,1098.0,671.0
G36k,170,170.0,170.0,170,170.0,0.0,G36k,170,170.0,170.0,510,170.0,0.0,G36k,255,255.0,425.0,1105,340.0,170.0,G36k,340,595.0,1020.0,2805,765.0,425.0,G36k,340,1105.0,1955.0,5695,1530.0,850.0
G3A3,110,110.0,110.0,110,110.0,0.0,G3A3,110,110.0,110.0,110,110.0,0.0,G3A3,110,110.0,110.0,110,110.0,0.0,G3A3,110,110.0,110.0,550,110.0,0.0,G3A3,110,110.0,220.0,880,110.0,110.0
Galil,110,110.0,110.0,110,110.0,0.0,Galil,220,220.0,220.0,660,220.0,0.0,Galil,220,220.0,440.0,1100,330.0,220.0,Galil,330,550.0,1100.0,3300,770.0,550.0,Galil,330,1100.0,2090.0,6710,1540.0,990.0
L85A2,150,150.0,150.0,150,150.0,0.0,L85A2,150,150.0,150.0,375,150.0,0.0,L85A2,150,150.0,300.0,825,225.0,150.0,L85A2,300,525.0,900.0,2625,750.0,375.0,L85A2,300,975.0,1725.0,4350,1350.0,750.0
M16A2,60,60.0,60.0,60,60.0,0.0,M16A2,120,120.0,120.0,360,120.0,0.0,M16A2,120,120.0,240.0,720,180.0,120.0,M16A2,180,300.0,600.0,1740,420.0,300.0,M16A2,180,600.0,1140.0,3720,840.0,540.0
M4,126,126.0,126.0,126,126.0,0.0,M4,126,126.0,126.0,315,126.0,0.0,M4,126,126.0,252.0,630,189.0,126.0,M4,252,441.0,756.0,1953,567.0,315.0,M4,252,819.0,1449.0,4032,1134.0,630.0
SCAR-L,202,202.0,202.0,202,202.0,0.0,SCAR-L,202,202.0,202.0,505,202.0,0.0,SCAR-L,303,303.0,505.0,1414,404.0,202.0,SCAR-L,404,707.0,1212.0,3434,909.0,505.0,SCAR-L,404,1313.0,2424.0,6565,1818.0,1111.0
SG552,140,140.0,140.0,140,140.0,0.0,SG552,140,140.0,140.0,490,140.0,0.0,SG552,140,140.0,280.0,700,210.0,140.0,SG552,280,490.0,840.0,2170,700.0,350.0,SG552,280,910.0,1610.0,4130,1260.0,700.0
Stoner 63,85,85.0,85.0,85,85.0,0.0,Stoner 63,85,85.0,85.0,425,85.0,0.0,Stoner 63,170,170.0,340.0,1020,255.0,170.0,Stoner 63,255,425.0,850.0,2210,595.0,425.0,Stoner 63,255,850.0,1615.0,6460,1190.0,765.0
VSS,60,60.0,60.0,60,60.0,0.0,VSS,120,120.0,120.0,360,120.0,0.0,VSS,120,120.0,240.0,600,180.0,120.0,VSS,180,300.0,600.0,1860,420.0,300.0,VSS,180,600.0,1140.0,3240,840.0,540.0
Agram 2000,240,240.0,320.0,800,240.0,80.0,Agram 2000,400,720.0,1200.0,2560,960.0,480.0,Agram 2000,400,2240.0,3840.0,10160,2960.0,1600.0,Agram 2000,1440,6800.0,11760.0,32560,9040.0,4960.0,Agram 2000,0,0.0,0.0,0,0.0,0.0
CX8 Storm,180,180.0,240.0,600,180.0,60.0,CX8 Storm,300,540.0,900.0,1920,720.0,360.0,CX8 Storm,420,1680.0,2820.0,6840,2220.0,1140.0,CX8 Storm,1020,5040.0,8820.0,24060,6720.0,3780.0,CX8 Storm,0,0.0,0.0,0,0.0,0.0
Vector 10mm,110,110.0,165.0,440,110.0,55.0,Vector 10mm,220,385.0,660.0,1925,550.0,275.0,Vector 10mm,275,1210.0,2200.0,5995,1650.0,990.0,Vector 10mm,440,3685.0,6820.0,19030,5060.0,3135.0,Vector 10mm,0,0.0,0.0,0,0.0,0.0
