Weapon,Minimum,Q1,Q3,Maximum,Median,IQR
AK-109,192,192.0,288.0,672,192.0,96.0,AK-109,192,192.0,384.0,960,288.0,192.0,AK-109,288,672.0,1248.0,3744,960.0,576.0,AK-109,384,2400.0,4704.0,14304,3456.0,2304.0,AK-109,576,4800.0,9600.0,36864,7008.0,4800.0
AK5C,170,170.0,255.0,510,170.0,85.0,AK5C,255,255.0,425.0,1020,340.0,170.0,AK5C,340,765.0,1360.0,3910,1020.0,595.0,AK5C,425,2890.0,5270.0,16830,3910.0,2380.0,AK5C,1020,5695.0,10540.0,29070,7820.0,4845.0
AK-74,192,192.0,288.0,768,192.0,96.0,AK-74,192,192.0,384.0,1056,288.0,192.0,AK-74,384,960.0,1536.0,3840,1248.0,576.0,AK-74,384,3264.0,5856.0,16224,4416.0,2592.0,AK-74,864,6432.0,11904.0,43584,8928.0,5472.0
AKM,192,192.0,288.0,576,192.0,96.0,AKM,192,192.0,384.0,1248,288.0,192.0,AKM,384,864.0,1536.0,4224,1248.0,672.0,AKM,672,3264.0,5856.0,18144,4416.0,2592.0,AKM,960,6432.0,11904.0,39168,8832.0,5472.0
AKS74-U,192,192.0,288.0,672,192.0,96.0,AKS74-U,288,288.0,480.0,1344,384.0,192.0,AKS74-U,384,960.0,1536.0,4512,1248.0,576.0,AKS74-U,480,3264.0,5952.0,14976,4416.0,2688.0,AKS74-U,864,6528.0,12000.0,32064,8928.0,5472.0
AS VAL,120,120.0,180.0,420,120.0,60.0,AS VAL,120,120.0,240.0,660,180.0,120.0,AS VAL,240,600.0,960.0,2880,780.0,360.0,AS VAL,360,2040.0,3660.0,10020,2760.0,1620.0,AS VAL,780,4080.0,7500.0,23640,5580.0,3420.0
AUG A1,170,170.0,255.0,595,170.0,85.0,AUG A1,170,170.0,340.0,935,255.0,170.0,AUG A1,340,850.0,1360.0,3315,1020.0,510.0,AUG A1,425,2805.0,5185.0,15555,3910.0,2380.0,AUG A1,765,5695.0,10540.0,32640,7820.0,4845.0
SKS Auto,130,130.0,195.0,390,130.0,65.0,SKS Auto,130,130.0,260.0,715,195.0,130.0,SKS Auto,260,650.0,1040.0,3120,845.0,390.0,SKS Auto,390,2145.0,3965.0,10660,2990.0,1820.0,SKS Auto,715,4355.0,8043.75,20865,5980.0,3688.75
Famas-G2,122,122.0,183.0,488,122.0,61.0,Famas-G2,183,183.0,305.0,732,244.0,122.0,Famas-G2,244,610.0,976.0,2684,793.0,366.0,Famas-G2,366,2074.0,3721.0,9699,2806.0,1647.0,Famas-G2,427,4026.0,7503.0,21655,5612.0,3477.0
G36k,170,170.0,255.0,595,170.0,85.0,G36k,255,255.0,425.0,1275,340.0,170.0,G36k,425,1020.0,1615.0,4165,1275.0,595.0,G36k,510,3570.0,6205.0,18700,4760.0,2635.0,G36k,1105,7140.0,12410.0,34765,9520.0,5270.0
G3A3,110,110.0,110.0,110,110.0,0.0,G3A3,110,110.0,110.0,110,110.0,0.0,G3A3,110,110.0,220.0,990,110.0,110.0,G3A3,220,440.0,880.0,2750,660.0,440.0,G3A3,220,1210.0,2750.0,9790,1870.0,1540.0
Galil,220,220.0,330.0,660,220.0,110.0,Galil,220,220.0,440.0,1760,330.0,220.0,Galil,440,990.0,1760.0,5060,1430.0,770.0,Galil,550,3630.0,6710.0,18040,4950.0,3080.0,Galil,1100,7370.0,13750.0,43560,10230.0,6380.0
L85A2,150,150.0,225.0,600,150.0,75.0,L85A2,150,150.0,300.0,900,225.0,150.0,L85A2,300,750.0,1200.0,3075,975.0,450.0,L85A2,450,2475.0,4575.0,12150,3450.0,2100.0,L85A2,900,5100.0,9375.0,26325,6975.0,4275.0
M16A2,120,120.0,180.0,480,120.0,60.0,M16A2,120,120.0,240.0,660,180.0,120.0,M16A2,240,540.0,960.0,2580,780.0,420.0,M16A2,360,1980.0,3660.0,10680,2760.0,1680.0,M16A2,600,4020.0,7440.0,20940,5520.0,3420.0
M4,126,126.0,189.0,441,126.0,63.0,M4,189,189.0,315.0,756,252.0,126.0,M4,252,567.0,1008.0,2583,756.0,441.0,M4,315,2079.0,3906.0,10647,2898.0,1827.0,M4,756,4284.0,7812.0,22113,5796.0,3528.0
